"","city","beetle_cnt","beetle_rich","sw_index","nn_rich","nat_rich","nonnative_perc","avg_nudds","avg_densio","litter","pH","K","dist_from_city","diameter"
"1","Raleigh, NC",8,5,1.677,8,32,33.6,56.875,9.1,5,5.51,0.256,"1",54.53747251
"2","Raleigh, NC",3,3,1.3322,12,33,27.9,66.1875,21.424,4.75,5.41,0.321,"1",124.0187224
"3","Raleigh, NC",1,1,0.5623,7,34,27.2,60.21875,9.464,7.25,4.8,0.255,"1",75.59684255
"4","Raleigh, NC",8,2,1.0114,5,32,5,63.34375,14.274,9.7,4.69,0.247,"2",153.0106806
"5","Raleigh, NC",46,7,1.2007,2,25,2.4,48.625,12.298,6.95,5.07,0.259,"2",80.53407278
"6","Raleigh, NC",47,3,0.8735,3,35,2,39.59375,10.114,10.1,5.22,0.239,"3",125.588443
"7","Raleigh, NC",43,7,1.9214,8,33,13.3,54.5,10.842,2.8,5.35,0.222,"3",65.05917681
"8","Raleigh, NC",7,2,0.9557,8,23,55.3,83.625,11.804,4.7,5.61,0.22,"1",220.5859178
"9","Raleigh, NC",4,3,0.9372,9,27,11.9,43.89375,8.97,7.25,4.73,0.214,"1",57.12859696
"10","Raleigh, NC",17,2,0.8102,2,26,3,41.3125,8.996,9.65,4.62,0.179,"2",75.78631322
"11","Raleigh, NC",28,7,1.3799,8,23,41.2,64.03125,9.585333333,5.95,5.1,0.366,"1",121.5733454
"12","Raleigh, NC",10,1,0.689,7,31,29,57.15277778,10.11111111,5.611111111,5.177777778,0.218888889,"1",32.38234443
"13","Newark, DE",24,4,0.9704,6,30,28.4,78.062,15.886,1.95,7.241,0.34786,"2",61.53330027
"14","Newark, DE",41,5,1.1782,10,41,25,58.846,13.494,3.95,7.401,0.30857,"2",46.16417639
"15","Newark, DE",86,10,1.4396,7,26,16.5,36.781,12.402,4.3,7.351,0.35946,"2",142.0929267
"16","Newark, DE",18,9,2.1375,5,37,6.7,58.969,13.468,3.1,7.065,0.34164,"2",171.9644731
"17","Newark, DE",156,14,1.7006,2,26,2,34.939,5.252,8,7.163,0.21795,"3",119.7321758
"18","Newark, DE",28,5,1.5366,8,29,14.8,56.654,12.61,4.9,7.167,0.30112,"1",67.93850935
"19","Newark, DE",26,9,1.9457,8,39,13.9,60.97,13.104,6.4,7.203,0.22961,"1",36.22131678
"20","Newark, DE",77,9,1.9476,2,29,2,21.938,9.282,6.9,6.751,0.4616,"2",105.2478961
"21","Newark, DE",120,8,1.436,5,29,3.4,40.095,8.866,5.65,7.224,0.42,"3",72.33354333
"22","Newark, DE",30,8,1.5629,3,25,9.1,30.064,8.606,6.05,6.75,0.21435,"1",32.08865372
"23","Newark, DE",36,10,2.151,3,27,14.2,28.751,20.644,6.8,7.05,0.28935,"1",280.4786158
"24","Newark, DE",82,11,2.0754,5,17,15.7,32.593,15.132,6.7,6.57,0.53149,"3",104.1298999
